Locality,,,Yes,No,Blanks,"Total Votes Cast"
Barnstable,,,"12,432","13,463",485,"26,380"
Bourne,,,"5,273","5,583",179,"11,035"
Brewster,,,"3,221","3,468",126,"6,815"
Chatham,,,"1,928","2,611",104,"4,643"
Dennis,,,"4,237","5,028",167,"9,432"
Eastham,,,"1,876","1,783",43,"3,702"
Falmouth,,,"9,640","10,290",344,"20,274"
Harwich,,,"4,002","4,461",109,"8,572"
Mashpee,,,"4,126","4,749",109,"8,984"
Orleans,,,"2,229","2,297",69,"4,595"
Provincetown,,,"1,717",537,145,"2,399"
Sandwich,,,"5,849","6,846",228,"12,923"
Truro,,,963,546,80,"1,589"
Wellfleet,,,"1,431",764,87,"2,282"
Yarmouth,,,"6,227","7,748",312,"14,287"
Adams,,,"2,287","1,714",79,"4,080"
Alford,,,189,98,20,307
Becket,,,690,338,19,"1,047"
Cheshire,,,"1,039",824,28,"1,891"
Clarksburg,,,448,392,56,896
Dalton,,,"1,745","1,671",67,"3,483"
Egremont,,,537,285,23,845
Florida,,,200,165,35,400
"Great Barrington",,,"2,364","1,323",77,"3,764"
Hancock,,,207,173,17,397
Hinsdale,,,605,460,71,"1,136"
Lanesborough,,,"1,016",705,26,"1,747"
Lee,,,"1,671","1,353",75,"3,099"
Lenox,,,"1,601","1,404",91,"3,096"
Monterey,,,330,192,32,554
"Mount Washington",,,68,34,5,107
"New Ashford",,,101,52,8,161
"New Marlborough",,,532,290,49,871
